job_title,company,location,experience,posted_time,job_url,city,page_no
Data Analyst,Apollo TeleHealth,Hyderabad,3-8 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-apollo-tele-health-services-hyderabad-3-to-8-years-150324501476,Hyderabad,6
Data Analyst,IDESLABS,Hyderabad,6-10 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-ideslabs-private-limited-hyderabad-6-to-10-years-071223501973,Hyderabad,6
Data Analyst,eTeam Inc.,Hyderabad,1-3 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-eteam-inc-hyderabad-1-to-3-years-180822501630,Hyderabad,6
Data Analyst | Contract,Infosys,"Hyderabad, Pune, Ahmedabad, Chennai, Bengaluru",6-11 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-contract-srs-infoway-hyderabad-pune-ahmedabad-chennai-bengaluru-6-to-11-years-150126918027,Hyderabad,6
Data Analyst,ERM Placement Services,Hyderabad,4-8 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-erm-placement-services-hyderabad-4-to-8-years-050126909797,Hyderabad,6
Data Analyst,Fortune India 500 IT Services Firm,Hybrid - Hyderabad,5-10 Yrs,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-srs-infoway-hyderabad-5-to-10-years-090126935413,Hyderabad,6
Data Analyst,Complete Open Source Solutions (COSS),Hyderabad,3-5 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-complete-open-source-solutions-hyderabad-3-to-5-years-120225502402,Hyderabad,6
Data Visualisation Analyst,Pulsus Healthtech,Hyderabad,1-4 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-visualisation-analyst-pulsus-group-hyderabad-1-to-4-years-181125504673,Hyderabad,6
Immediate Hiring || Data Engineer/Analyst (SQL+BI+Python),Motivity Labs,Hyderabad,5-10 Yrs,1 week ago,https://www.naukri.com/job-listings-immediate-hiring-data-engineer-analyst-sql-bi-python-motivity-labs-hyderabad-5-to-10-years-220625002877,Hyderabad,6
Data Analyst,Leading Client,Hyderabad,6-10 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-ideslabs-private-limited-hyderabad-6-to-10-years-140126938626,Hyderabad,6
Data Analyst,Diverse Lynx,Hyderabad,1-5 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-diverse-lynx-hyderabad-1-to-5-years-100523502959,Hyderabad,6
Data Analyst,SRS,"Hyderabad, Pune, Bengaluru",5-10 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-srs-infoway-hyderabad-pune-bengaluru-5-to-10-years-150126917977,Hyderabad,6
Data Governance Analyst,Fortuna Entertainment Group,Hyderabad,2-7 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-governance-analyst-fortuna-entertainment-group-hyderabad-2-to-7-years-211125503321,Hyderabad,6
Data Governance Analyst,Leading Client,Hyderabad,9-14 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-governance-analyst-ideslabs-private-limited-hyderabad-9-to-14-years-140126937718,Hyderabad,6
Data Analyst,Techcarrot Fz-llc,"Hyderabad, Noida, Chennai",8-10 Yrs,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-techcarrot-fz-llc-noida-hyderabad-chennai-8-to-10-years-090126025231,Hyderabad,6
Fraud Data & Strategy Analyst,Proclink,"Hyderabad, Ahmedabad",2-4 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-fraud-data-strategy-analyst-proclink-consulting-services-llp-hyderabad-ahmedabad-2-to-4-years-021225504087,Hyderabad,6
Databricks Data Analyst,Xenon7,Hyderabad,6-11 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-databricks-data-analyst-xenon7-hyderabad-6-to-11-years-020126500819,Hyderabad,6
